MSP,AZO,92,248,230
IAH,GRK,58,273,1574
INL,HIB,44,156,637
INL,BRD,59,203,4
MSP,INL,69,176,482
PIT,DTW,62,202,1054
IAD,PIT,63,218,427
PIT,PHL,78,210,1773
JFK,MVY,59,185,242
MSP,HLN,145,610,456
DFW,GCK,86,299,1272
MSP,GTF,142,457,606
LAX,SMX,58,206,493
TUS,LAX,90,261,5229
LAX,RNO,86,311,3772
LAX,LAS,70,308,19173
MSP,DIK,97,455,1177
HNL,ITO,53,149,9571
DFW,IAH,69,181,7741
IAH,HOB,99,387,1086
IAH,TYR,57,203,1331
IAH,LRD,74,265,1794
IAH,MTJ,154,388,339
IAH,ISN,206,842,603
IAH,AEX,58,276,1803
IAH,MAF,89,270,4014
IAH,BFL,211,543,956
IAH,GRK,58,273,1574
IAH,CLL,42,131,1364
IAH,LCH,48,123,2110
DEN,PUB,48,165,508
SLC,RDM,97,331,1186
ANC,ADK,175,485,177
EWR,SYR,72,198,971
EWR,AVP,49,144,103
EWR,ALB,63,311,323
ROC,EWR,75,198,1406
EWR,BDL,57,267,879
EWR,SBN,122,486,610
EWR,AVL,113,314,321
EWR,BTV,77,293,1038
GCC,RKS,65,226,51
MSP,PSP,205,576,308
FLL,MCO,59,266,1331
FLL,BQN,145,670,324
TPA,FLL,56,165,3802
FLL,JAX,73,333,1447
FLL,STT,164,412,612
PHL,PVD,71,183,564
SFO,RDD,65,260,1412
RST,CLE,91,311,1
CLE,MKE,77,255,1498
DFW,SPS,49,155,2340
CLT,MDT,91,265,246
CLT,ILM,60,219,323
CLT,SDF,82,247,16
CLT,DAB,86,240,10
CLT,IAD,81,234,25
CLT,MYR,59,227,12
MSN,CID,49,186,1
CVG,MSN,84,271,72
PHX,LGB,92,256,2
PHX,TUS,51,173,2286
PHX,BUR,79,279,3751
PHX,SLC,94,255,10905
PHX,FLG,51,155,3217
DRO,PHX,81,268,1360
OAK,SAN,83,262,6906
BUR,OAK,65,169,7249
ATL,EVV,80,364,1898
RSW,ISP,168,722,54
LAN,ORD,60,198,1678
DTW,LAN,47,161,857
